"","Team","Accuracy","Sensitivity","Specificity","Group","team_id","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logos","venue_id","venue_name","city","state","zip","country_code","timezone","latitude","longitude","elevation","capacity","year_constructed","grass","dome"
"1","Alabama","0.67","0.72","0.6","1",333,"Crimson Tide","ALA",NA,"ALA","Alabama","SEC","West","#690014","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png",3657,"Bryant Denny Stadium","Tuscaloosa","AL","35487","US","America/Chicago",33.2082752,-87.5503836,"70.05136108",101821,1929,TRUE,FALSE
"2","Appalachian State","0.68","0.86","0.42","1",2026,"Mountaineers","APP",NA,"APP","Appalachian St","Sun Belt",NA,"#000000","#ffcd00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png",3792,"Kidd Brewer Stadium","Boone","NC","28608","US","America/New_York",36.2114267,-81.6854278,"991.3414307",30000,1962,FALSE,FALSE
"3","Arizona State","0.73","0.84","0.45","1",9,"Sun Devils","ASU",NA,"ASU","Arizona State","Pac-12","South","#942139","#f1f2f3","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png",3947,"Sun Devil Stadium","Tempe","AZ","85287","US","America/Phoenix",33.4264471,-111.9325005,"360.1569519",65870,1958,FALSE,FALSE
"4","Buffalo","0.72","0.84","0.49","1",2084,"Bulls","BUFF",NA,"BUFF","Buffalo","Mid-American","East","#041A9B","#ebebeb","http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png",3965,"UB Stadium","Amherst","NY","14260","US","America/New_York",42.9991334,-78.7775113,"181.5759735",30270,1993,FALSE,FALSE
"5","BYU","0.63","0.78","0.5","1",252,"Cougars","BYU","Brigham Young","BYU","BYU","FBS Independents",NA,"#001E4C","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png",3801,"LaVell Edwards Stadium","Provo","UT","84602","US","America/Denver",40.2575347,-111.6545247,"1412.097046",63470,1964,FALSE,FALSE
"6","Clemson","0.62","0.71","0.56","1",228,"Tigers","CLEM",NA,"CLEM","Clemson","ACC","Atlantic","#F66733","#522d80","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png",3836,"Memorial Stadium","Clemson","SC","29634","US","America/New_York",34.6787737,-82.8432428,"205.6452179",81500,1942,FALSE,FALSE
"7","Iowa","0.67","0.89","0.45","1",2294,"Hawkeyes","IOWA",NA,"IOWA","Iowa","Big Ten","West","#000000","#ffe100","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png",3793,"Kinnick Stadium","Iowa City","IA","52242","US","America/Chicago",41.6586045,-91.5510829,"220.6357727",69250,1929,FALSE,FALSE
"8","Kansas State","0.67","0.77","0.54","1",2306,"Wildcats","KSU",NA,"KSU","Kansas State","Big 12",NA,"#633194","#e7d2ad","http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png",3636,"Bill Snyder Family Football Stadium","Manhattan","KS","66502","US","America/Chicago",39.2020096,-96.5938395,"328.0574646",50000,1968,FALSE,FALSE
"9","Kentucky","0.67","0.81","0.46","1",96,"Wildcats","UK",NA,"UK","Kentucky","SEC","East","#005DAA","#ffffff","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png",3683,"Commonwealth Stadium","Lexington","KY","40506","US","America/New_York",38.0220905,-84.5053408,"307.4248962",61000,1973,TRUE,FALSE
"10","Liberty","0.61","0.82","0.36","1",2335,"Flames","LIB",NA,"LIB","Liberty","FBS Independents",NA,"#071740","#a61f21","http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png",3992,"Williams Stadium","Lynchburg","VA","24502","US","America/New_York",37.3544305,-79.1750239,"272.9237061",25000,1989,FALSE,FALSE
